treat,par_gender,pic_gender,pic_cue,yvar,SE,df,LCL,UCL,tvar,xvar
Satiation,Women Participants,Female Pictures,Sexual Cue-Absent,3.182010010098988,0.09699059789473466,241.11709169474582,2.990952946508944,3.3730670736890316,1,Satiation
Satiation,Men Participants,Female Pictures,Sexual Cue-Absent,3.70673536956157,0.10084602166899878,241.1170916945752,3.508083694110223,3.9053870450129167,1,Satiation
Satiation,Women Participants,Male Pictures,Sexual Cue-Absent,3.8113881057912433,0.09525851050798732,224.4329362416891,3.6236726076903496,3.999103603892137,1,Satiation
Satiation,Men Participants,Male Pictures,Sexual Cue-Absent,3.2443784533935482,0.09904508296022145,224.43293624155245,3.0492011722963026,3.439555734490794,1,Satiation
Satiation,Women Participants,Female Pictures,Sexual Cue-Present,3.4598885850733128,0.0969905978947303,241.11709169459186,3.268831521483277,3.6509456486633485,1,Satiation
Satiation,Men Participants,Female Pictures,Sexual Cue-Present,4.1753003137923645,0.10084602166899868,241.1170916945211,3.976648638341018,4.373951989243712,1,Satiation
Satiation,Women Participants,Male Pictures,Sexual Cue-Present,3.640540560079282,0.09936480885135295,265.43361017488587,3.444897061749806,3.8361840584087585,1,Satiation
Satiation,Men Participants,Male Pictures,Sexual Cue-Present,3.413552034095598,0.10331460867407848,265.4336101747594,3.2101316108773994,3.6169724573137967,1,Satiation
Hunger,Women Participants,Female Pictures,Sexual Cue-Absent,3.081072289204242,0.10223706698963797,241.11709169457103,2.8796804612015063,3.282464117206978,1,Hunger
Hunger,Men Participants,Female Pictures,Sexual Cue-Absent,4.155084963913852,0.08589631725301487,241.11709169457103,3.9858819844109203,4.324287943416785,1,Hunger
Hunger,Women Participants,Male Pictures,Sexual Cue-Absent,3.848333414039649,0.10041128657345223,224.43293624155604,3.650463905335681,4.046202922743618,1,Hunger
Hunger,Men Participants,Male Pictures,Sexual Cue-Absent,3.2004253934755322,0.08436235488025878,224.43293624157042,3.034181754110792,3.3666690328402726,1,Hunger
Hunger,Women Participants,Female Pictures,Sexual Cue-Present,3.3776134520573455,0.10223706698963783,241.1170916945211,3.1762216240546097,3.5790052800600813,1,Hunger
Hunger,Men Participants,Female Pictures,Sexual Cue-Present,4.892715877106783,0.08589631725301505,241.1170916945544,4.72351289760385,5.061918856609715,1,Hunger
Hunger,Women Participants,Male Pictures,Sexual Cue-Present,4.210858080915617,0.10473970507918456,265.4336101747594,4.004631726207441,4.417084435623794,1,Hunger
Hunger,Men Participants,Male Pictures,Sexual Cue-Present,3.3508451150618233,0.08799895381760862,265.43361017477457,3.1775803206820914,3.524109909441555,1,Hunger
